Feature,Missing Data,Percentage
Wind_Direction,73775,2.59%
Weather,71715,2.52%
Weather_Condition,70636,2.48%
Sunrise_Sunset,2867,0.10%
Nautical_Twilight,2867,0.10%
Civil_Twilight,2867,0.10%
Astronomical_Twilight,2867,0.10%
Zipcode,1319,0.05%
Side,1,0.00%
Clear,0,0.00%
Hail,0,0.00%
Cloudy,0,0.00%
Windy,0,0.00%
Year,0,0.00%
Fog,0,0.00%
Snow,0,0.00%
Thunderstorm,0,0.00%
Wintry,0,0.00%
Sand,0,0.00%
Hour,0,0.00%
Day,0,0.00%
Month,0,0.00%
Rain,0,0.00%
Severity,0,0.00%
Distance(mi),0,0.00%
Traffic_Signal,0,0.00%
Stop,0,0.00%
Station,0,0.00%
Junction,0,0.00%
Crossing,0,0.00%
Amenity,0,0.00%
Precipitation(in),0,0.00%
Wind_Speed(mph),0,0.00%
Visibility(mi),0,0.00%
Pressure(in),0,0.00%
Humidity(%),0,0.00%
Wind_Chill(F),0,0.00%
Temperature(F),0,0.00%
Smoke,0,0.00%
