Feature,Missing Data,Percentage
Number,1743911,61.29%
Precipitation(in),549458,19.31%
Wind_Chill(F),469643,16.51%
Wind_Speed(mph),157944,5.55%
Wind_Direction,73775,2.59%
Humidity(%),73092,2.57%
Weather_Condition,70636,2.48%
Visibility(mi),70546,2.48%
Temperature(F),69274,2.43%
Pressure(in),59200,2.08%
Weather_Timestamp,50736,1.78%
Airport_Code,9549,0.34%
Timezone,3659,0.13%
Nautical_Twilight,2867,0.10%
Civil_Twilight,2867,0.10%
Sunrise_Sunset,2867,0.10%
Astronomical_Twilight,2867,0.10%
Zipcode,1319,0.05%
City,137,0.00%
Street,2,0.00%
Country,0,0.00%
Junction,0,0.00%
Start_Time,0,0.00%
End_Time,0,0.00%
Start_Lat,0,0.00%
Turning_Loop,0,0.00%
Traffic_Signal,0,0.00%
Traffic_Calming,0,0.00%
Stop,0,0.00%
Station,0,0.00%
Roundabout,0,0.00%
Railway,0,0.00%
No_Exit,0,0.00%
Crossing,0,0.00%
Give_Way,0,0.00%
Bump,0,0.00%
Amenity,0,0.00%
Start_Lng,0,0.00%
End_Lat,0,0.00%
End_Lng,0,0.00%
Distance(mi),0,0.00%
Description,0,0.00%
Severity,0,0.00%
Side,0,0.00%
County,0,0.00%
State,0,0.00%
ID,0,0.00%
